Domain Code,Domain,Area Code (M49),Area,Indicator,Year Code,Year,Source,Unit,Value,Flag Description,Note
OEA,Employment Indicators: Agriculture,4,Afghanistan,"Share of employment in agriculture, forestry and fishing in total employment",2008,2008,Household income and expenditure survey,%,59.1,Figure from international organizations,"Break in series: Methodology revised, Repository: ILO-STATISTICS - Micro data processing"
OEA,Employment Indicators: Agriculture,4,Afghanistan,"Share of employment in agriculture, forestry and fishing in total employment",2012,2012,Household income and expenditure survey,%,38.6,Figure from international organizations,Repository: ILO-STATISTICS - Micro data processing
OEA,Employment Indicators: Agriculture,4,Afghanistan,"Share of employment in agriculture, forestry and fishing in total employment",2014,2014,Household income and expenditure survey,%,40.3,Figure from international organizations,Repository: ILO-STATISTICS - Micro data processing
OEA,Employment Indicators: Agriculture,4,Afghanistan,"Share of employment in agriculture, forestry and fishing in total employment",2017,2017,Household income and expenditure survey,%,42.8,Figure from international organizations,Repository: ILO-STATISTICS - Micro data processing
OEA,Employment Indicators: Agriculture,4,Afghanistan,"Share of employment in agriculture, forestry and fishing in total employment",2020,2020,Labour force survey,%,44.7,Figure from international organizations,Repository: ILO-STATISTICS - Micro data processing
OEA,Employment Indicators: Agriculture,4,Afghanistan,"Share of employment in agriculture, forestry and fishing in total employment",2021,2021,Labour force survey,%,25.1,Figure from international organizations,Repository: ILO-STATISTICS - Micro data processing Data reference period: First quarter
OEA,Employment Indicators: Agriculture,818,Egypt,"Share of employment in agriculture, forestry and fishing in total employment",1990,1990,Labour force survey,%,39,Figure from international organizations,Data reference period: December Population coverage: Excluding armed forces and/or conscripts Age coverage - minimum age: 12 years old Age coverage - maximum age: 64 years old
OEA,Employment Indicators: Agriculture,818,Egypt,"Share of employment in agriculture, forestry and fishing in total employment",1991,1991,Labour force survey,%,31.3,Figure from international organizations,Data reference period: December Population coverage: Excluding armed forces and/or conscripts Age coverage - minimum age: 12 years old Age coverage - maximum age: 64 years old
OEA,Employment Indicators: Agriculture,818,Egypt,"Share of employment in agriculture, forestry and fishing in total employment",1992,1992,Labour force survey,%,38.4,Figure from international organizations,Data reference period: Incomplete year Population coverage: Excluding armed forces and/or conscripts Age coverage - minimum age: 12 years old Age coverage - maximum age: 64 years old
OEA,Employment Indicators: Agriculture,818,Egypt,"Share of employment in agriculture, forestry and fishing in total employment",1993,1993,Labour force survey,%,35.3,Figure from international organizations,Data reference period: Incomplete year Population coverage: Excluding armed forces and/or conscripts Age coverage - minimum age: 12 years old Age coverage - maximum age: 64 years old
OEA,Employment Indicators: Agriculture,818,Egypt,"Share of employment in agriculture, forestry and fishing in total employment",1994,1994,Labour force survey,%,35.2,Figure from international organizations,Data reference period: Incomplete year Population coverage: Excluding armed forces and/or conscripts Age coverage - minimum age: 12 years old Age coverage - maximum age: 64 years old
OEA,Employment Indicators: Agriculture,818,Egypt,"Share of employment in agriculture, forestry and fishing in total employment",1995,1995,Labour force survey,%,34,Figure from international organizations,Data reference period: Incomplete year Population coverage: Excluding armed forces and/or conscripts Age coverage - minimum age: 12 years old Age coverage - maximum age: 64 years old
OEA,Employment Indicators: Agriculture,818,Egypt,"Share of employment in agriculture, forestry and fishing in total employment",1996,1996,Population census,%,31,Figure from international organizations,Data reference period: November
OEA,Employment Indicators: Agriculture,818,Egypt,"Share of employment in agriculture, forestry and fishing in total employment",1997,1997,Labour force survey,%,31.3,Figure from international organizations,Data reference period: Incomplete year Population coverage: Excluding armed forces and/or conscripts Age coverage - maximum age: 64 years old
OEA,Employment Indicators: Agriculture,818,Egypt,"Share of employment in agriculture, forestry and fishing in total employment",1998,1998,Labour force survey,%,29.8,Figure from international organizations,Data reference period: Incomplete year Population coverage: Excluding armed forces and/or conscripts Age coverage - maximum age: 64 years old
OEA,Employment Indicators: Agriculture,818,Egypt,"Share of employment in agriculture, forestry and fishing in total employment",1999,1999,Labour force survey,%,28.7,Figure from international organizations,Data reference period: Incomplete year Population coverage: Excluding armed forces and/or conscripts Age coverage - maximum age: 64 years old
OEA,Employment Indicators: Agriculture,818,Egypt,"Share of employment in agriculture, forestry and fishing in total employment",2000,2000,Labour force survey,%,29.6,Figure from international organizations,Data reference period: Incomplete year Population coverage: Excluding armed forces and/or conscripts Age coverage - maximum age: 64 years old
OEA,Employment Indicators: Agriculture,818,Egypt,"Share of employment in agriculture, forestry and fishing in total employment",2001,2001,Labour force survey,%,28.5,Figure from international organizations,Data reference period: Incomplete year Population coverage: Excluding armed forces and/or conscripts Age coverage - maximum age: 64 years old
OEA,Employment Indicators: Agriculture,818,Egypt,"Share of employment in agriculture, forestry and fishing in total employment",2002,2002,Labour force survey,%,27.5,Figure from international organizations,Data reference period: Incomplete year Population coverage: Excluding armed forces and/or conscripts Age coverage - maximum age: 64 years old
OEA,Employment Indicators: Agriculture,818,Egypt,"Share of employment in agriculture, forestry and fishing in total employment",2003,2003,Labour force survey,%,29.9,Figure from international organizations,Data reference period: Incomplete year Population coverage: Excluding armed forces and/or conscripts Age coverage - maximum age: 64 years old
OEA,Employment Indicators: Agriculture,818,Egypt,"Share of employment in agriculture, forestry and fishing in total employment",2004,2004,Labour force survey,%,31.8,Figure from international organizations,Data reference period: Incomplete year Population coverage: Excluding armed forces and/or conscripts Age coverage - maximum age: 64 years old
OEA,Employment Indicators: Agriculture,818,Egypt,"Share of employment in agriculture, forestry and fishing in total employment",2005,2005,Labour force survey,%,30.9,Figure from international organizations,Data reference period: Incomplete year Population coverage: Excluding armed forces and/or conscripts Age coverage - maximum age: 64 years old
OEA,Employment Indicators: Agriculture,818,Egypt,"Share of employment in agriculture, forestry and fishing in total employment",2006,2006,Labour force survey,%,31.2,Figure from international organizations,Data reference period: Incomplete year Population coverage: Excluding armed forces and/or conscripts Age coverage - maximum age: 64 years old
OEA,Employment Indicators: Agriculture,818,Egypt,"Share of employment in agriculture, forestry and fishing in total employment",2007,2007,Labour force survey,%,31.7,Figure from international organizations,Data reference period: Incomplete year Population coverage: Excluding armed forces and/or conscripts Age coverage - maximum age: 64 years old
OEA,Employment Indicators: Agriculture,818,Egypt,"Share of employment in agriculture, forestry and fishing in total employment",2008,2008,Labour force survey,%,31.6,Figure from international organizations,"Break in series: Methodology revised, Repository: ILO-STATISTICS - Micro data processing"
OEA,Employment Indicators: Agriculture,818,Egypt,"Share of employment in agriculture, forestry and fishing in total employment",2009,2009,Labour force survey,%,29.9,Figure from international organizations,Repository: ILO-STATISTICS - Micro data processing
OEA,Employment Indicators: Agriculture,818,Egypt,"Share of employment in agriculture, forestry and fishing in total employment",2010,2010,Labour force survey,%,28.2,Figure from international organizations,Repository: ILO-STATISTICS - Micro data processing
OEA,Employment Indicators: Agriculture,818,Egypt,"Share of employment in agriculture, forestry and fishing in total employment",2011,2011,Labour force survey,%,29.2,Figure from international organizations,Repository: ILO-STATISTICS - Micro data processing
OEA,Employment Indicators: Agriculture,818,Egypt,"Share of employment in agriculture, forestry and fishing in total employment",2012,2012,Labour force survey,%,27.1,Figure from international organizations,Repository: ILO-STATISTICS - Micro data processing
OEA,Employment Indicators: Agriculture,818,Egypt,"Share of employment in agriculture, forestry and fishing in total employment",2013,2013,Labour force survey,%,28,Figure from international organizations,Repository: ILO-STATISTICS - Micro data processing
OEA,Employment Indicators: Agriculture,818,Egypt,"Share of employment in agriculture, forestry and fishing in total employment",2014,2014,Labour force survey,%,27.5,Figure from international organizations,
OEA,Employment Indicators: Agriculture,818,Egypt,"Share of employment in agriculture, forestry and fishing in total employment",2015,2015,Labour force survey,%,25.8,Figure from international organizations,Repository: ILO-STATISTICS - Micro data processing
OEA,Employment Indicators: Agriculture,818,Egypt,"Share of employment in agriculture, forestry and fishing in total employment",2016,2016,Labour force survey,%,25.6,Figure from international organizations,"Break in series: Methodology revised, Repository: ILO-STATISTICS - Micro data processing"
OEA,Employment Indicators: Agriculture,818,Egypt,"Share of employment in agriculture, forestry and fishing in total employment",2017,2017,Labour force survey,%,25,Figure from international organizations,Repository: ILO-STATISTICS - Micro data processing
OEA,Employment Indicators: Agriculture,818,Egypt,"Share of employment in agriculture, forestry and fishing in total employment",2018,2018,Labour force survey,%,21.6,Figure from international organizations,Repository: ILO-STATISTICS - Micro data processing
OEA,Employment Indicators: Agriculture,818,Egypt,"Share of employment in agriculture, forestry and fishing in total employment",2019,2019,Labour force survey,%,21.1,Figure from international organizations,Repository: ILO-STATISTICS - Micro data processing
OEA,Employment Indicators: Agriculture,818,Egypt,"Share of employment in agriculture, forestry and fishing in total employment",2020,2020,Labour force survey,%,20.3,Figure from international organizations,Repository: ILO-STATISTICS - Micro data processing
OEA,Employment Indicators: Agriculture,356,India,"Share of employment in agriculture, forestry and fishing in total employment",1994,1994,Household survey,%,61.9,Figure from international organizations,"Break in series: Methodology revised, Repository: ILO-STATISTICS - Micro data processing Data reference period: Noncalendar year"
